frame,emotion,gaze_x,gaze_y,AU_0,AU_1,AU_2,AU_3,AU_4,AU_5,AU_6,AU_7
40,0,-0.0240704827010631,-0.0693360716104507,0.0,0.0,0.0,0.0,0.0,0.00018997675215359777,0.0018850535852834582,0.001950203557498753
41,7,-0.0102380402386188,-0.0862917229533195,0.0,0.0,0.0,0.0,0.0,0.0,0.0026199803687632084,0.0
42,0,0.0510210022330284,-0.0714404210448265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000485720724100247
43,0,0.0533855780959129,-0.094983272254467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048253213753923774
44,7,-0.0055464245378971,-0.0203237794339656,0.0,0.0,0.0,0.0,0.0,0.001945761381648481,0.005656162276864052,0.0036787267308682203
45,7,-0.0410304851830005,0.2080303728580474,0.0,0.0,0.0,0.0,0.0,0.00804703589528799,0.02123779058456421,0.0005042926641181111
46,7,-0.1524483561515808,0.2022799700498581,0.002127709798514843,0.006589945871382952,0.0,0.0,0.0,0.017087144777178764,0.09821535646915436,0.004588328767567873
47,7,-0.1556230038404464,0.1958670914173126,0.009319528006017208,0.015375606715679169,0.0,0.00029079263913445175,0.0,0.011612724512815475,0.00963688362389803,0.00623548636212945
48,7,-0.2076358199119568,0.1073818951845169,0.0,0.0,0.0,0.0,0.0,0.0,0.0006659657810814679,0.0
49,7,-0.039617221802473,0.0754119828343391,0.0028911062981933355,0.013567645102739334,0.0,0.0,0.0,0.0,0.0017332001589238644,0.00024261311045847833
50,7,-0.164653405547142,0.1995411664247512,0.006909256801009178,0.005391934420913458,0.0,0.004742196295410395,0.0,0.059580639004707336,0.7056487798690796,0.014078193344175816
51,7,-0.0872315838932991,0.1611685454845428,0.0,0.0,0.0,0.0,0.0,0.019107909873127937,0.23868802189826965,0.009181605651974678
52,0,-0.1656535863876342,0.1887983381748199,0.0,0.0,0.0,0.0,0.0,0.03477735072374344,0.33609554171562195,0.03626105934381485
53,7,-0.1594588160514831,0.1454623192548751,0.0,0.0,0.0,0.0,0.0,0.0021195115987211466,0.051232483237981796,0.0011436922941356897
54,7,-0.2565414905548095,0.1913060396909713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,7,-0.1515844464302063,0.0004530842415988,0.0,0.0,0.0,0.0,0.0,0.004073632415384054,0.0043899789452552795,0.0
56,7,-0.0886195600032806,0.1124063804745674,0.0,0.0,0.0,0.0,0.0,0.016131117939949036,0.019312763586640358,0.0
57,7,-0.1003290712833404,0.0677663907408714,0.0,0.0,0.0,0.0,0.0,0.009815435856580734,0.014027572236955166,0.0
58,7,-0.0802736580371856,0.0306432209908962,0.0,9.017911361297593e-05,0.0,0.00039883452700451016,0.0,0.01924150250852108,0.10497348755598068,0.0029792129062116146
59,7,-0.0592442899942398,-0.0143329771235585,0.0005990826175548136,0.0029154056683182716,0.0,0.00042501333518885076,0.0,0.013352456502616405,0.01323635783046484,0.004357765428721905
60,7,-0.0402116738259792,0.0842233523726463,0.0,0.0013717146357521415,0.0,0.00016397664148826152,0.0,0.015980999916791916,0.03542887419462204,0.008364611305296421
61,7,-0.040049560368061,0.0597112625837326,0.0036914723459631205,0.00437379302456975,0.0,0.0,0.0,0.011185762472450733,0.06131884455680847,0.008543872274458408
62,7,-0.0442926362156868,0.0755585581064224,0.0013768479693681002,0.0040609086863696575,0.0,0.0,0.0,0.010470855049788952,0.01937864162027836,0.005401118658483028
63,7,-0.0404248721897602,0.116459846496582,0.0015933227259665728,0.0020640084985643625,0.0,0.0,0.0,0.009551960974931717,0.018430255353450775,0.007828900590538979
64,7,-0.0405864380300045,0.1408887505531311,0.0,0.0,0.0,0.0,0.0,0.010060237720608711,0.030083108693361282,0.010633102618157864
65,7,-0.040375679731369,0.1090215221047401,0.0,0.0,0.0,0.0,0.0,0.010895817540585995,0.02105177566409111,0.0046239690855145454
66,7,-0.040380660444498,0.1097746193408966,0.0,0.0,0.0,0.0,0.0,0.008930395357310772,0.01656443625688553,0.004828655626624823
67,7,-0.0401680283248424,0.0776238366961479,0.0,0.0,0.0,0.0,0.0,0.006067852955311537,0.011861415579915047,0.003270193934440613
68,7,-0.0445787236094474,0.0838633626699447,0.0,0.0,0.0,0.0,0.0,0.01175319030880928,0.019013315439224243,0.005493296310305595
69,7,-0.0398490019142627,0.0301857404410839,0.0,0.0,0.0,0.0,0.0,0.011068243533372879,0.022709190845489502,0.0007783155306242406
70,7,-0.0399434603750705,0.0436688028275966,0.0,0.002958415076136589,0.0,0.0,0.0,0.009468119591474533,0.013211386278271675,0.0022931306157261133
71,7,-0.0375357381999492,0.0245899707078933,0.0,0.0,0.0,0.0006553787388838828,0.0,0.032644085586071014,0.02247730828821659,0.0049650901928544044
72,7,-0.0399784594774246,0.0529178269207477,0.0,0.0,0.0,0.00013160188973415643,0.0,0.017709439620375633,0.014099077321588993,0.004307759925723076
73,7,-0.039942979812622,0.0475590340793132,0.0031371668446809053,0.004913891199976206,0.0,0.0,0.0,0.012909997254610062,0.02457551285624504,0.004414363298565149
74,7,-0.0402701124548912,0.0930596068501472,0.00033885170705616474,0.0,0.0,0.0,0.0,0.022490566596388817,0.04859192296862602,0.0072046550922095776
75,7,-0.040383905172348,0.1102650463581085,0.0,0.0,0.0,0.0,0.0,0.014393388293683529,0.06895392388105392,0.00393743347376585
76,7,-0.023794874548912,0.1098387464880943,0.0,0.0,0.0,0.00047657653340138495,0.0,0.04067796468734741,0.1043711006641388,0.006037961225956678
77,7,-0.0299200676381587,0.0981298759579658,0.0,0.0,0.0,0.0,0.0,0.03353989124298096,0.029669756069779396,0.0045672194100916386
78,7,-0.0404013581573963,0.1553775519132614,0.0,0.0,0.0,0.0,0.0,0.017338238656520844,0.04044725000858307,0.002273643622174859
79,7,-0.0405692160129547,0.1382851600646972,0.0,0.0,0.0,0.00012709572911262512,0.0,0.027977105230093002,0.04404880851507187,0.004422346130013466
80,7,-0.0405086688697338,0.1291299760341644,0.0,0.0,0.0,0.0001977289648493752,0.0,0.029848597943782806,0.03390798345208168,0.004118982702493668
81,7,-0.040348008275032,0.1048377677798271,0.0,0.0,0.0,0.00020614906679838896,0.0,0.03330475836992264,0.161929652094841,0.006190660409629345
82,7,-0.0336275920271873,0.1127331927418708,0.0,0.0,0.0,3.074442793149501e-05,0.0,0.019663367420434952,0.04987847059965134,0.0027572750113904476
83,7,-0.0404010117053985,0.1128521636128425,0.0,0.0,0.0,0.00013897259486839175,0.0,0.017220288515090942,0.03187061846256256,0.00574397062882781
84,7,-0.0231359973549842,0.1190824210643768,5.420567322289571e-05,0.0,0.0,0.0001498926430940628,0.0,0.014992976561188698,0.03946458548307419,0.004436596296727657
85,7,-0.0249562375247478,0.1442421972751617,0.004481425043195486,0.0025103390216827393,0.0,0.0009654355817474425,0.0,0.0349411815404892,0.06472577154636383,0.004798761568963528
86,7,-0.0396774560213089,0.116690881550312,0.004239675588905811,0.0017582569271326065,0.0,0.0073246704414486885,0.0,0.05781267583370209,0.11952866613864899,0.013350127264857292
87,7,-0.0342369973659515,0.1419141143560409,0.000800258363597095,0.0,0.0,0.00047020637430250645,0.0,0.026155810803174973,0.02172446995973587,0.005443617235869169
88,7,-0.0324127748608589,0.1491608023643493,0.0,0.0,0.0,0.00022302291472442448,0.0,0.0394725576043129,0.06956210732460022,0.007941403426229954
89,7,-0.0206728819757699,0.1731332242488861,0.0,0.0,0.0,0.0,0.0,0.015769295394420624,0.04104740172624588,0.0021949296351522207
90,7,-0.0404383242130279,0.1184935644268989,0.0,0.0,0.0,0.005070818588137627,0.0,0.04838269203901291,0.423525333404541,0.00960184819996357
91,7,-0.0324127897620201,0.1383012980222702,0.0036595268175005913,0.0024728511925786734,0.0,0.002013653051108122,0.0,0.03092602640390396,0.09448634088039398,0.00542303454130888
92,7,-0.0404829196631908,0.1252364367246627,0.0,0.0,0.0,0.00038522170507349074,0.0,0.03425193578004837,0.034327417612075806,0.004940993618220091
93,7,-0.032958447933197,0.1111662834882736,0.0,0.0,0.0,0.0005558297852985561,0.0,0.03317192196846008,0.05587860941886902,0.0048257941380143166
94,7,-0.0404600091278553,0.1217725798487663,0.0,0.0,0.0,0.00022694903600495309,0.0,0.03638720512390137,0.12812736630439758,0.005638089030981064
95,7,-0.1203075647354126,0.2099583148956298,0.006528601516038179,0.007736542262136936,0.0,0.00048611967940814793,0.0,0.03793664276599884,0.29429012537002563,0.0045662312768399715
96,7,-0.098514512181282,0.1790722906589508,0.0,0.0,0.0,0.00013693183427676558,0.0,0.022825069725513458,0.2210652232170105,0.002979970769956708
97,7,-0.124757632613182,0.1594221442937851,0.004669749643653631,0.0028217595536261797,0.0,0.0027582552284002304,0.0,0.04001566767692566,0.22679460048675537,0.016997212544083595
98,7,-0.0979518145322799,0.1645757257938385,0.0,0.0,0.0,0.004385977052152157,0.0,0.0805392935872078,0.2805897891521454,0.00723716476932168
99,7,-0.0392835065722465,0.0372816622257232,0.0,0.0,0.0,0.0,0.0,0.04214116930961609,0.20831149816513062,0.0048188925720751286
100,7,-0.0384326875209808,-0.0280207730829715,0.0,0.0,0.0,5.531061106012203e-05,0.0,0.03554520756006241,0.038749247789382935,0.0062502725049853325
101,7,-0.0179028268903493,0.0111436489969491,0.0,0.0,0.0,0.0,0.0,0.02760140597820282,0.029579944908618927,0.004004156682640314
102,7,-0.0299499202519655,-0.0106061771512031,0.0,0.0,0.0,0.0,0.0,0.013006341643631458,0.05675305798649788,0.0018649655394256115
103,7,-0.0175757016986608,0.002410516841337,0.0,0.0,0.0,0.00024801737163215876,0.0,0.022712189704179764,0.05174918472766876,0.005744213238358498
104,7,-0.0193961858749389,0.0213703475892543,0.0,0.0,0.0,1.68189453688683e-05,0.0,0.018407616764307022,0.04846788942813873,0.00518028112128377
105,7,-0.0256926082074642,-0.0003120354376733,0.0,0.0,0.0,0.0005799095961265266,0.0,0.0280758086591959,0.024192873388528824,0.007493693381547928
106,7,-0.0181293059140443,0.0591481626033782,0.0,0.0,0.0,0.0,0.0,0.013244155794382095,0.14763739705085754,0.003202965948730707
107,7,-0.0173887908458709,0.0618534535169601,0.0,0.0,0.0,1.4650232515123207e-05,0.0,0.025219468399882317,0.11199212074279785,0.003657629946246743
108,7,-0.0224661547690629,0.0362139604985713,0.0,0.0,0.0,0.0,0.0,0.02150983363389969,0.026938199996948242,0.00363203720189631
109,7,-0.0240765586495399,0.0570031516253948,0.0,0.0,0.0,0.0,0.0,0.014851096086204052,0.10507276654243469,0.003952513448894024
110,7,-0.0208016596734523,0.0581108629703521,0.0,0.0,0.0,0.0,0.0,0.007791663054376841,0.03621160238981247,0.0011435486376285553
111,7,-0.0061988532543182,0.0188506767153739,0.0,0.0,0.0,0.0,0.0,0.013384207151830196,0.0457661896944046,0.0026760546024888754
112,7,-0.0117316972464323,0.0462134405970573,0.0,0.0,0.0,0.0,0.0,0.011050851084291935,0.04352761059999466,0.0015130212996155024
113,7,-0.007791094481945,0.0214704163372516,0.00033324791002087295,0.0,0.0,0.0,0.0,0.01586209051311016,0.07087411731481552,0.004668138921260834
114,7,-0.0005401112139225,-0.04929955676198,0.000576450431253761,0.0,0.0,0.0,0.0,0.017583871260285378,0.02904808148741722,0.004447237588465214
115,7,-0.002491969615221,0.0122834295034408,0.003379661124199629,0.002501008566468954,0.0,0.0013079213676974177,0.0,0.021436937153339386,0.031255099922418594,0.0063858781941235065
116,7,0.0067212507128715,-0.0270832292735576,0.0,0.0,0.0,0.0,0.0,0.01637682504951954,0.09023784846067429,0.005687313620001078
117,7,-0.0147051233798265,0.0055873780511319,0.0,0.0,0.0,2.2481768610305153e-05,0.0,0.00895523838698864,0.010217425413429737,0.005841752979904413
118,7,-0.0113401524722576,0.025075826793909,0.0,0.0,0.0,0.0,0.0,0.009015383198857307,0.03377746790647507,0.004280513152480125
119,7,-0.0161953270435333,0.0407837927341461,0.0,0.0,0.0,0.0,0.0,0.009570017457008362,0.024143964052200317,0.0024798987433314323
120,7,-0.0188383217900991,0.0112170130014419,0.0,0.0,0.0,0.0,0.0,0.0057533495128154755,0.01180048193782568,0.003174437442794442
121,7,-0.017088221386075,0.0054964469745755,0.0,0.0,0.0,0.0,0.0,0.005667376331984997,0.011620553210377693,0.003643608186393976
122,7,-0.008213572204113,-0.0273716002702713,0.0,0.0,0.0,0.0,0.0,0.0031537506729364395,0.013917873613536358,0.0017750326078385115
123,7,-0.006809514015913,-0.0050119180232286,0.0,0.0,0.0,0.0,0.0,0.005951177328824997,0.019560329616069794,0.001119965803809464
124,7,-0.0048373378813266,0.0172239653766155,0.0,0.0,0.0,0.0,0.0,0.0076102386228740215,0.02799372375011444,0.0031015784479677677
125,0,-0.0105636492371559,0.0497653484344482,0.0,0.0,0.0,0.0,0.0,0.002127412473782897,0.010818754322826862,0.0014471194008365273
126,7,-0.0163893997669219,0.0654168650507927,0.0,0.0,0.0,0.0,0.0,0.01608281582593918,0.17182177305221558,0.005359286442399025
127,7,-0.023501681163907,0.0335335619747638,0.0,0.0,0.0,0.0,0.0,0.00789963360875845,0.0705423429608345,0.002041650004684925
128,0,-0.1173843219876289,0.177970677614212,0.00544728571549058,0.005716931074857712,0.0,0.0,0.0,0.016047131270170212,0.12707562744617462,0.010551596991717815
